Mes;Año;Pasajeros totales;Peso mercancías
21.03;2021;3200222;84849771
21.02;2021;2229568;69676820
21.01;2021;2814424;62378735
20.12;2020;3818253;74435504
20.11;2020;2912596;77353302
20.10;2020;4458214;83462922
20.09;2020;5457142;71475145
20.08;2020;8952982;59863457
20.07;2020;6988953;59308905
20.06;2020;1054173;45019222
20.05;2020;267667;45078815
20.04;2020;140839;34737746
20.03;2020;8128087;67253442
20.02;2020;16904519;84192681
20.01;2020;16982176;87360216
19.12;2019;18248209;95646814
19.11;2019;18349196;103171425
19.10;2019;24699768;105896690
19.09;2019;27137706;92863038
19.08;2019;29481222;83786586
19.07;2019;29409598;88519079
19.06;2019;27279729;77360663
19.05;2019;24627713;85851195
19.04;2019;23206175;86303307
19.03;2019;19966606;94504781
19.02;2019;16258250;78531948
19.01;2019;16583215;77330163
18.12;2018;17604821;83812772
18.11;2018;17718779;91990642
18.10;2018;24326839;100105787
18.09;2018;26242088;87170862
18.08;2018;28346258;82314403
18.07;2018;28446699;84147726
18.06;2018;25744939;79094596
18.05;2018;23807495;83040521
18.04;2018;21632331;83823033
18.03;2018;19103667;87530924
18.02;2018;15283462;74754648
18.01;2018;15496979;74463422
17.12;2017;16365836;78418985
17.11;2017;16580715;85886148
17.10;2017;22842329;92065182
17.09;2017;25081937;81427893
17.08;2017;27426487;80236255
17.07;2017;27565683;76087244
17.06;2017;24498985;71548756
17.05;2017;22376830;75423945
17.04;2017;21025206;71500601
17.03;2017;17210832;79433285
17.02;2017;13991764;65561087
17.01;2017;14251813;62549659
